input	time
44300	13606.0979611185
44400	13660.7408301823
44500	13752.9948763917
44600	12829.0753713886
44700	12849.1486804591
44800	12591.82731604
44900	13805.7706774825
45000	12787.6345052704
45100	13637.1795446651
45200	13629.1937787458
45300	14157.3811831768
45400	12669.0303280233
45500	13658.1085252955
45600	13819.4895869629
45700	12676.1649286772
45800	13946.283399523
45900	12733.8250395184
46000	12899.5601776816
46100	12781.8039763894
46200	12800.2867346963
46300	13054.4510761965
46400	12675.7321712935
46500	12756.9648911945
46600	13628.156881633
46700	12980.7770182656
46800	12838.7942445257
46900	20378.802292827
47000	19136.0183617455
47100	27107.582867617
47200	22836.8400961396
47300	13837.87515592
47400	13888.1684439017
47500	13197.2611140611
47600	12799.1803178812
47700	24964.0563779557
47800	18878.360677268
47900	13988.8676986029
48000	27421.2400028704
48100	14868.9560705846
48200	14644.2340968974
48300	13728.9175498448
48400	13322.7744209697
48500	12824.456608148
48600	12730.4909842044
48700	13602.2381935619
48800	14010.8059216893
48900	13032.2825500626
49000	13008.9102628351
49100	13018.75018726
49200	12985.6744662928
49300	12750.0104800777
49400	12904.3846229974
49500	13112.2617716314
49600	12660.6665539125
49700	13748.8271558845
49800	13246.2212700162
49900	12731.6423861999
50000	12982.1866870815
50100	12845.4044142923
50200	12835.6088083418
50300	13744.2550458472
50400	13145.5491502406
50500	12722.434775434
50600	13151.4537208031
50700	12863.6577792193
50800	13775.2439484776
50900	13038.7831604086
51000	13017.1183401271
51100	13011.8889604022
51200	12799.2062005343
51300	12839.1022094481
51400	13728.0126416183
51500	13234.1168308885
51600	12820.3172013721
51700	13088.9371651347
51800	12747.5912732546
51900	13057.6720181375
52000	12939.3909474166
52100	12825.1119729409
52200	13182.908675838
52300	12908.8339597067
52400	12898.5875542569
52500	12960.1123049996
52600	12794.4358965693
52700	15126.3682466124
52800	23154.49587436
52900	20411.6834271864
53000	18765.1079918407
53100	14149.2356271932
53200	13834.9816582741
53300	14006.2398253905
53400	13029.8142609535
53500	12862.8429882513
53600	13766.685836828
53700	12876.0260004676
53800	13758.5818351546
53900	13248.1805920029
54000	12865.6513470192
54100	13122.4014590295
54200	12798.4675860344
54300	13929.5253970235
54400	13074.9013580502
54500	12865.0617432451
54600	13845.3249212961
54700	12888.8307877936
54800	14044.5792712475
54900	13163.1777396837
55000	13844.0628385108
55100	13977.4471878346
55200	13202.3062506164
55300	12891.0488568392
55400	13043.7687961669
55500	13072.6602515721
55600	13023.0213409699
55700	12733.9625752296
55800	13025.6463772329
55900	13010.5167432255
56000	13898.3828757597
56100	12975.2457184506
56200	13783.0883690952
56300	12923.2135843963
56400	13696.0651104514
56500	14086.8866684104
56600	12821.5129417215
56700	13898.8190688204
56800	12927.7467444185
56900	14464.7793161088
57000	12892.2260179844
57100	14100.193302575
57200	13045.7044982605
57300	13167.7592568533
57400	12794.0003348826
57500	14138.8217349212
57600	13031.4082203091
57700	13984.0361044408
57800	12932.4336225175
57900	14064.5745971495
58000	13179.2321977628
58100	12956.5090141691
58200	12914.7734989948
58300	13032.7247945965
58400	12923.3255162205
58500	13992.8798725164
58600	13010.0476963362
58700	13241.9919193487
58800	12802.4081999399
58900	13135.8989717015
59000	13080.1389682466
59100	13796.5625428888
59200	13231.9403114495
59300	12936.0322147877
59400	13218.7583702925
59500	12870.0009673221
59600	12968.1142731437
59700	13883.2553568869
59800	13880.9152525367
59900	13374.5297820994
60000	12833.0430389686
60100	14065.0696969305
60200	13277.4552906152
60300	12915.3819152053
60400	14071.3219266408
60500	13086.5574518961
60600	12924.6696455256
60700	13743.597694669
60800	13819.2115391293
60900	14065.1018648091
61000	13271.1223226272
61100	12741.9261264341
61200	14048.7128644024
61300	13016.3060726954
61400	13113.5439387332
61500	13013.6359686287
61600	13129.4849106871
61700	12821.3185112885
61800	13798.6435430484
61900	13050.7680896932
62000	14164.2979163045
62100	13142.7698707638
62200	13066.4509779403
62300	13218.0381933979
62400	12905.5923692884
62500	13024.9551572536
62600	13801.5616783132
62700	14169.0750276006
62800	13088.1246056699
62900	13929.0781753722
63000	13305.8222166177
63100	13065.7363457234
63200	13969.3035870316
63300	13122.900271898
63400	13872.2665724966
63500	13955.1272513163
63600	13152.9566858083
63700	13822.3049769841
63800	13802.5702709339
63900	13880.8686295751
64000	13868.908984217
64100	13871.3600543596
64200	14199.0558914086
64300	12812.0685572292
64400	14047.8313195847
64500	13167.8319962653
64600	13047.07643976
64700	13248.0544204953
64800	12998.5820774727
64900	13235.6411190569
65000	13467.4642469474
65100	12832.3824618236
65200	13808.4377359198
65300	14276.2853722739
65400	14029.2759280937
65500	13225.2769826582
65600	13231.4193079595
65700	13207.8458935327
65800	13116.4052370909
65900	13893.4761987459
66000	13203.6237535753
66100	13851.2017972799
66200	14046.7635897341
66300	13869.2106640031
66400	13889.1284640704
66500	13932.6656168181
66600	14019.2648619701
66700	13839.8499897551
66800	14143.0347122999
66900	13221.9982278662
67000	12976.1637399067
67100	14151.1488245551
67200	12945.1722952584
67300	14120.6372224488
67400	13362.1175735535
67500	14069.6428142269
67600	14323.8265891298
67700	13237.2786956814
67800	12890.5814939061
67900	14067.187810813
68000	13970.3627211809
68100	13162.9045666578
68200	13365.9152246908
68300	13149.1634995339
68400	13246.6710131108
68500	12862.8234871427
68600	13828.6328500694
68700	13899.7966695725
68800	14048.2210242588
68900	13552.2926677837
69000	12907.2098554104
69100	14177.0189580623
69200	13039.3509222076
69300	14120.3324440155
69400	13921.5267267479
69500	13926.3552044048
69600	13931.6762430975
69700	14056.3946714406
69800	14394.9680117288
69900	13063.5574353162
70000	13932.6389724428
70100	13454.0518054395
70200	13160.273151746
70300	13153.3245492722
70400	13159.3070775049
70500	13039.7523983489
70600	13844.7954608049
70700	14146.4666438263
70800	13156.9062930105
70900	14041.2607871192
71000	14243.6631606622
71100	13917.9098701514
71200	14255.2244822479
71300	12894.3045197203
71400	14216.8704791013
71500	13093.2650291609
71600	13220.7742113194
71700	13829.4532240093
71800	13843.5739129897
71900	14142.6791943737
72000	13357.4662306578
72100	13097.3788601924
72200	13298.6842346633
72300	13964.5119586783
72400	14079.4990369844
72500	14044.4790888568
72600	13952.5001951334
72700	13905.5696768603
72800	13384.9880738524
72900	13025.4613190997
73000	13898.0033622578
73100	13913.1617710317
73200	14105.185681824
73300	13261.0815826612
73400	13288.9002405393
73500	14128.194843832
73600	13392.1716578678
73700	13153.3025211858
73800	13215.9262766129
73900	14245.8630820374
74000	13051.9489023257
74100	13881.3436232473
74200	14141.8364298239
74300	13981.5881674715
74400	13952.7735734372
74500	14186.9394361513
74600	13970.1546442577
74700	14261.8110766192
74800	13066.3392949187
74900	14060.1193415211
75000	14218.5964868096
75100	13309.5109387645
75200	12869.7464254528
75300	14058.4784395432
75400	14001.2876116823
75500	14092.330075541
75600	13994.6390999987
75700	14080.4055561508
75800	14032.6742504753
75900	14143.9764426533
76000	14352.4971980953
76100	13183.033312941
76200	14088.706152969
76300	14274.3597485944
76400	13313.7435903775
76500	13347.8961726887
76600	13146.8748562153
76700	13231.9446645584
76800	13293.5206778366
76900	13234.9418594739
77000	13088.9638383317
77100	13096.2548512103
77200	14139.577244642
77300	13447.1662313731
77400	13270.7991225942
77500	13241.5612524176
77600	13200.1258048766
77700	13288.0907423005
77800	13366.0843860103
77900	13412.4859270945
78000	13126.7983287725
78100	13120.505799553
78200	13496.1859934442
78300	13249.1351967294
78400	13030.4345286771
78500	13895.1978898767
78600	14257.926327292
78700	13192.8364236008
78800	13948.316049515
78900	14367.3628972862
79000	13236.239008775
79100	14339.1609202991
79200	13489.4424459069
79300	12808.0449293049
79400	14192.2449695564
79500	13952.6266773259
79600	14207.9753084524
79700	13267.126616655
79800	13930.1507757599
79900	14035.0416882794
80000	13984.7811746961
80100	14049.1242518023
80200	14247.057013102
80300	14093.6345518674
80400	14369.4089018918
80500	13178.1108559156
80600	13315.3852748625
80700	13336.5501081511
80800	13364.9247922508
80900	13731.8667090602
81000	13769.3349195266
81100	13224.9203382934
81200	14207.7516102239
81300	14067.1468117354
81400	14345.6453052761
81500	13571.8766065121
81600	13072.7481069555
81700	14107.2671974258
81800	16305.4659976447
81900	14859.8540928695
82000	23792.0417236338
82100	19665.0244417708
82200	17137.6746900172
82300	18503.8772254317
82400	18354.756991312
82500	18271.5419791811
82600	16841.2402263118
82700	14511.131147563
82800	13366.2689992874
82900	14260.1408713857
83000	13337.5116285296
83100	13224.1782994763
83200	13127.8496205257
83300	14310.79123755
83400	13321.9811270732
83500	13344.6264572541
83600	13261.186087435
83700	14106.2834465465
83800	14347.8414397261
83900	13276.1682627046
84000	14018.1622925427
84100	14248.5075208185
84200	13267.1940052705
84300	13426.6963789329
84400	13297.9483385313
84500	13581.0257501982
84600	13274.4642060208
84700	13472.2246808667
84800	13146.531622814
84900	14309.1249680997
85000	13348.6817812834
85100	13956.0974945783
85200	14377.2916592223
85300	13611.4207547489
85400	13291.8957375693
85500	17199.9632670088
85600	18172.3016618661
85700	18693.3168952637
85800	18422.70371627
85900	14527.6198675719
86000	14398.0431447586
86100	13307.4531326018
86200	13303.0625574408
86300	13110.6840075757
86400	19043.8363115179
86500	13870.9619819679
86600	14089.2951273994
86700	14244.5578220656
86800	14060.3022136485
86900	20156.0112581655
87000	17027.81103935
87100	18573.9870672115
87200	17132.5059652217
87300	18370.4435859025
87400	18310.1910528745
87500	19543.0337778207
87600	21175.4451502348
87700	18805.7563318844
87800	17831.2721858671
87900	14104.5598780936
88000	14191.128596122
88100	14501.4164817965
88200	13320.4873022012
88300	13493.8696638602
88400	13134.3888227612
88500	13083.9216621741
88600	14059.7623937326
88700	14270.1483203662
88800	14146.0041666719
88900	14268.6434753699
89000	14004.8621096905
89100	14214.1916725174
